city,time,temperature,condition

Aleppo,2022-07-20 03:00:00,25.07,clear sky
Aleppo,2022-07-20 06:00:00,29.09,clear sky
Aleppo,2022-07-20 09:00:00,36.04,clear sky
Aleppo,2022-07-20 12:00:00,38.85,clear sky
Aleppo,2022-07-20 15:00:00,35.6,clear sky
Aleppo,2022-07-20 18:00:00,29.07,clear sky
Aleppo,2022-07-20 21:00:00,25.7,clear sky
Aleppo,2022-07-21 00:00:00,23.88,clear sky
Aleppo,2022-07-21 03:00:00,22.85,clear sky
Aleppo,2022-07-21 06:00:00,28.96,clear sky
Aleppo,2022-07-21 09:00:00,34.11,clear sky
Aleppo,2022-07-21 12:00:00,36.27,clear sky
Aleppo,2022-07-21 15:00:00,34.2,clear sky
Aleppo,2022-07-21 18:00:00,29.13,clear sky
Aleppo,2022-07-21 21:00:00,25.61,clear sky
Aleppo,2022-07-22 00:00:00,23.96,clear sky
Aleppo,2022-07-22 03:00:00,22.92,clear sky
Aleppo,2022-07-22 06:00:00,28.44,clear sky
Aleppo,2022-07-22 09:00:00,33.81,clear sky
Aleppo,2022-07-22 12:00:00,37.73,clear sky
Aleppo,2022-07-22 15:00:00,36.41,clear sky
Aleppo,2022-07-22 18:00:00,29.87,clear sky
Aleppo,2022-07-22 21:00:00,25.96,clear sky
Aleppo,2022-07-23 00:00:00,24.29,clear sky
Aleppo,2022-07-23 03:00:00,22.79,clear sky
Aleppo,2022-07-23 06:00:00,29.85,clear sky
Aleppo,2022-07-23 09:00:00,35.17,clear sky
Aleppo,2022-07-23 12:00:00,38.57,clear sky
Aleppo,2022-07-23 15:00:00,38.3,clear sky
Aleppo,2022-07-23 18:00:00,30.38,clear sky
Aleppo,2022-07-23 21:00:00,26.43,clear sky
Aleppo,2022-07-24 00:00:00,24.41,clear sky
Aleppo,2022-07-24 03:00:00,23.24,clear sky
Aleppo,2022-07-24 06:00:00,29.78,clear sky
Aleppo,2022-07-24 09:00:00,35.23,clear sky
Aleppo,2022-07-24 12:00:00,38.62,clear sky
Aleppo,2022-07-24 15:00:00,38.79,clear sky
Aleppo,2022-07-24 18:00:00,30.43,clear sky
Aleppo,2022-07-24 21:00:00,27.14,clear sky
Aleppo,2022-07-25 00:00:00,24.44,clear sky
